货主,入库单号,来源单号,入库单类型,货品编码,计划数量,已收货数,已上架数,货号,商品名称,颜色,规格,创建时间,收货日期,首状态,尾状态,整单完成时间,客退快递单号,备注,仓库
Spyder,774741,EB2601270041108,退货入库,6941816947841,1,1,1,24324EF543M001,黑色裤子,黑色,,2026-02-02 12:03:00,2026-02-04 13:53:27,已完成,已完成,2026-02-04 13:53:51,772055965289996,,合肥仓
Spyder,774746,EB2601290033778,退货入库,6932472706095,1,1,1,24424CF213M001,黑色羽绒服,黑色,,2026-01-31 10:11:01,2026-02-03 10:03:22,已完成,已完成,2026-02-03 10:59:02,JDX048576928061,,合肥仓
Spyder,774763,EB2601280030244,退货入库,6942133510602,1,1,1,25425MF243MN90,三合一,月石灰,,2026-01-31 10:33:01,2026-02-02 17:38:47,已完成,已完成,2026-02-02 18:34:48,631147105333086,,合肥仓
Spyder,774773,EB2601260047071,退货入库,6941816960079,1,1,1,24424MF217M001,黑色羽绒服,黑色,,2026-01-31 09:35:00,2026-02-03 16:59:17,已完成,已完成,2026-02-03 17:41:14,YT2541623510600,,合肥仓
Spyder,774775,EB2601230046363,退货入库,6942133548667,1,1,1,26102TE26101KM001,短袖T恤,黑色,,2026-01-31 09:32:00,2026-02-02 16:25:50,已完成,已完成,2026-02-02 17:27:22,73594146178976,,合肥仓
Spyder,774784,EB2601280026654,退货入库,6941816947858,1,1,1,24324EF543M001,黑色裤子,黑色,,2026-01-31 10:13:00,2026-02-03 09:47:02,已完成,已完成,2026-02-03 09:49:41,1343758206118,,合肥仓
Spyder,774790,EB2601230048086,退货入库,6932472791992,1,1,1,25325EF417M001,T恤,黑色,,2026-02-01 09:03:00,2026-02-03 16:07:11,已完成,已完成,2026-02-03 16:36:21,73594149435893,,合肥仓
Spyder,774839,EB2601280043405,退货入库,6941816959349,1,1,1,24324MR225MN22,灰铜绿羽绒服,灰铜绿,,2026-01-31 09:09:00,2026-02-01 13:39:45,已完成,已完成,2026-02-01 14:58:10,631147067842926,,合肥仓
Spyder,774875,EB2601270042706,换货入库,6941816959509,1,1,1,24424EF225M001,黑色羽绒服,黑色,,2026-01-31 08:48:00,2026-02-05 15:33:50,已完成,已完成,2026-02-05 15:53:55,1313565466933,,合肥仓
Spyder,774887,EB2601290028537,退货入库,6941816998782,1,1,1,24324CF435MW03,鸟羽白T恤,鸟羽白,,2026-01-31 12:02:02,2026-02-01 10:57:36,已完成,已完成,2026-02-01 11:34:12,73594200694211,,合肥仓
Spyder,774908,EB2601280020990,退货入库,6942133517168,1,1,1,25325CF119M001,夹克,黑色,,2026-01-31 10:22:01,2026-02-02 13:56:54,已完成,已完成,2026-02-02 15:16:59,73594166851254,,合肥仓
Spyder,774952,EB2601250038424,退货入库,6941816942648,1,1,1,24324MF323M0MT,灰绿色卫衣,灰绿,,2026-01-31 14:17:00,2026-02-02 13:59:57,已完成,已完成,2026-02-02 15:17:00,772055913540931,,合肥仓
Spyder,774954,EB2601250038425,退货入库,6941816998768,1,1,1,24324CF435MG25,冰谷青T恤,冰谷青,,2026-01-31 14:17:01,2026-02-02 14:00:03,已完成,已完成,2026-02-02 15:17:00,772055913540931,,合肥仓
Spyder,774956,EB2601250049975,退货入库,6942105349100,1,1,1,99923ER107M001,黑色夹克,黑色,,2026-01-31 10:23:00,2026-02-02 16:52:11,已完成,已完成,2026-02-02 17:27:26,JDX048591174847,,合肥仓
Spyder,774981,EB2601280022144,退货入库,6942105349117,1,1,1,99923ER139M001,黑色夹克,黑色,,2026-01-31 10:45:00,2026-02-02 13:44:47,已完成,已完成,2026-02-02 15:16:57,772055908043485,,合肥仓
Spyder,775026,EB2601280039236,退货入库,6942105355156,1,1,1,23323EF251MXG9,海草绿羽绒服,海草绿,,2026-01-31 09:42:00,2026-02-02 13:46:13,已完成,已完成,2026-02-02 15:16:58,73594191638626,,合肥仓
Spyder,775038,EB2601240020991,退货入库,6941816959455,1,1,1,24424EF207UN22,灰铜绿羽绒服,灰铜绿,,2026-01-31 11:27:00,2026-02-03 10:01:21,已完成,已完成,2026-02-03 10:59:02,JDX048598046390,,合肥仓
Spyder,775044,EB2601250029022,退货入库,6941816943607,1,1,1,24324MR304W001,黑色卫衣,黑色,,2026-02-01 10:14:00,2026-02-05 09:17:46,已完成,已完成,2026-02-05 11:44:44,1314724060233,,合肥仓
Spyder,775054,EB2601260028032,退货入库,6932472708631,1,1,1,24424CR423M100,白色T恤,白色,,2026-01-31 10:13:00,2026-02-02 13:53:54,已完成,已完成,2026-02-02 15:16:59,73594203094632,,合肥仓
Spyder,775058,EB2601290025696,退货入库,6942133528294,1,1,1,25425CF217M001,羽绒服,黑色,,2026-01-31 10:33:02,2026-02-02 15:59:50,已完成,已完成,2026-02-02 17:27:18,73594204541226,,合肥仓
Spyder,775060,EB2601250043599,退货入库,6932472707450,1,1,1,24424CF539M001,黑色裤子,黑色,,2026-01-31 09:22:02,2026-02-03 10:21:34,已完成,已完成,2026-02-03 10:59:05,JDVA41630209558,,合肥仓
Spyder,775061,EB2601250043599,退货入库,6942105309104,1,1,1,23323CF507MB01,藏青色裤子,藏青色1,,2026-01-31 09:22:03,2026-02-03 10:21:42,已完成,已完成,2026-02-03 10:59:05,JDVA41630209558,,合肥仓
Spyder,775064,EB2601250043598,退货入库,6942133508999,1,1,1,25325MF523M001,裤子,黑色,,2026-01-31 09:24:00,2026-02-03 10:32:25,已完成,已完成,2026-02-03 10:59:06,JDVA41630240123,,合肥仓
Spyder,775065,EB2601220031213,退货入库,6942133527259,1,1,1,25325CF121MG39,冲锋衣,雨林绿,,2026-02-02 17:00:04,2026-02-04 09:55:59,已完成,已完成,2026-02-04 11:14:08,SF5124610035094,,合肥仓
Spyder,775076,EB2601270042231,退货入库,6932472752573,1,1,1,25125MR519M001,黑色裤子,黑色,,2026-01-31 18:15:00,2026-02-03 17:10:24,已完成,已完成,2026-02-03 17:41:16,631147239456076,,合肥仓
Spyder,775077,EB2601270042231,退货入库,6942105349117,1,1,1,99923ER139M001,黑色夹克,黑色,,2026-01-31 18:15:00,2026-02-03 17:10:18,已完成,已完成,2026-02-03 17:41:16,631147239456076,,合肥仓
Spyder,775078,EB2601260022607,退货入库,6942105349056,1,1,1,99923EF207UN19,玉石灰羽绒服,玉石灰,,2026-01-31 10:40:01,2026-02-03 10:07:07,已完成,已完成,2026-02-03 10:59:02,JDX048602881346,,合肥仓
Spyder,775081,EB2601260043314,换货入库,6942133529666,1,1,1,25425CF211MB95,棉服,深空蓝,,2026-01-31 11:52:00,2026-02-04 10:04:10,已完成,已完成,2026-02-04 11:14:09,1313915395033,,合肥仓
Spyder,775098,EB2601250000122,退货入库,6942133526450,1,1,1,25325CF205M001,棉服,黑色,,2026-01-31 10:25:00,2026-02-02 10:34:52,已完成,已完成,2026-02-02 10:39:42,JDVA41632737341,,合肥仓
Spyder,775104,EB2601250027809,退货入库,6941816947810,1,1,1,24324EF509M001,黑色裤子,黑色,,2026-02-01 11:33:01,2026-02-02 16:56:07,已完成,已完成,2026-02-02 17:27:26,JDX048663054283,,合肥仓
Spyder,775106,EB2601250027610,退货入库,6932472791190,1,1,1,25325EF115M001,夹克,黑色,,2026-02-01 11:36:00,2026-02-02 16:57:32,已完成,已完成,2026-02-02 17:27:26,JDX048665935659,,合肥仓
Spyder,775124,EB2601280027532,退货入库,6941816960291,1,1,1,24424MF227M001,黑色羽绒服,黑色,,2026-01-31 11:04:00,2026-02-03 16:21:14,已完成,已完成,2026-02-03 16:36:23,78978124796036,,合肥仓
Spyder,775160,EB2601290034720,退货入库,6941816959509,1,1,1,24424EF225M001,黑色羽绒服,黑色,,2026-01-31 11:45:00,2026-02-02 10:13:25,已完成,已完成,2026-02-02 10:39:36,JDVA41635443148,,合肥仓
Spyder,775182,EB2601290025514,退货入库,6942105389397,1,1,1,24124CS304W001,黑色卫衣,黑色,,2026-01-31 12:02:01,2026-02-02 16:27:04,已完成,已完成,2026-02-02 17:27:23,78978390261088,,合肥仓
Spyder,775205,EB2601270044512,退货入库,6942133505714,1,1,1,25325MF111MN22,夹克,灰铜绿,,2026-01-31 12:23:01,2026-02-02 13:52:32,已完成,已完成,2026-02-02 15:16:58,78978963269738,,合肥仓
Spyder,775218,EB2601290017613,退货入库,6941816959516,1,1,1,24424EF225M001,黑色羽绒服,黑色,,2026-01-31 12:32:00,2026-02-02 10:09:06,已完成,已完成,2026-02-02 10:39:35,JDVA41636692741,,合肥仓
Spyder,775238,EB2601290016312,退货入库,6942105389243,1,1,1,24124CS111M001,黑色夹克,黑色,,2026-01-31 12:57:00,2026-02-03 17:06:43,已完成,已完成,2026-02-03 17:41:16,772055930511638,,合肥仓
Spyder,775242,EB2601270034786,退货入库,6942133530358,1,1,1,25425CF516W001,裤子,黑色,,2026-01-31 14:23:00,2026-02-02 14:01:19,已完成,已完成,2026-02-02 15:17:00,772055923076701,,合肥仓
Spyder,775243,EB2601260021897,退货入库,6941767107264,1,1,1,22422CF309M001,黑色卫衣,黑色,,2026-01-31 13:53:00,2026-02-03 11:52:38,已完成,已完成,2026-02-03 11:54:44,YT2537059991953,,合肥仓
Spyder,775245,EB2601290025691,换货入库,6941816947933,1,1,1,24324EF543MN02,深灰色裤子,深灰色;灰色,,2026-02-01 08:52:00,2026-02-02 17:32:21,已完成,已完成,2026-02-02 18:34:47,435025837743542,,合肥仓
Spyder,775256,EB2601250031248,退货入库,6932472791435,1,1,1,25325EF201MB06,羽绒服,灰蓝色,,2026-01-31 14:57:00,2026-02-02 13:29:49,已完成,已完成,2026-02-02 15:16:55,631147188536586,,合肥仓
Spyder,775265,EB2601240022146,退货入库,6942133546014,1,1,1,26102OO26112KM001,长袖POLO衫,黑色,,2026-01-31 17:14:00,2026-02-02 13:22:53,已完成,已完成,2026-02-02 15:16:54,773404603421475,,合肥仓
Spyder,775285,EB2601280046816,退货入库,6932472700987,1,1,1,24324CF531M001,黑色裤子,黑色,,2026-02-01 15:46:00,2026-02-02 10:47:08,已完成,已完成,2026-02-02 11:22:37,SF5124085776874,,合肥仓
Spyder,775292,EB2601280024772,退货入库,6932472791756,1,1,1,25325EF247M001,棉服,黑色,,2026-01-31 15:54:00,2026-02-03 09:41:54,已完成,已完成,2026-02-03 09:49:40,1344720963118,,合肥仓
Spyder,775306,EB2601270029869,退货入库,6942133548728,1,1,1,26102TE26101KMB11,短袖T恤,中古蓝,,2026-01-31 14:53:00,2026-02-03 13:55:42,已完成,已完成,2026-02-03 15:08:15,73594274990879,,合肥仓
Spyder,775308,EB2601290027760,退货入库,6932472706002,1,1,1,24424CF165U001,黑色滑雪服装,黑色,,2026-01-31 16:02:00,2026-02-01 15:35:37,已完成,已完成,2026-02-01 15:46:41,73594276530234,,合肥仓
Spyder,775309,EB2601280039518,退货入库,6942133526474,1,1,1,25325CF205M001,棉服,黑色,,2026-01-31 18:00:01,2026-02-02 10:31:22,已完成,已完成,2026-02-02 10:39:41,JDX048621654257,,合肥仓
Spyder,775324,EB2601270022268,换货入库,6942133545055,1,1,1,26102OE26101KM001,短袖POLO衫,黑色,,2026-02-01 08:55:00,2026-02-05 15:42:24,已完成,已完成,2026-02-05 15:53:56,1344811721118,,合肥仓
Spyder,775326,EB2601280030931,退货入库,6942133505103,1,1,1,25325MF104W001,冲锋衣,黑色,,2026-01-31 14:57:01,2026-02-02 10:26:36,已完成,已完成,2026-02-02 10:39:40,JDVA41641545723,,合肥仓
Spyder,775327,EB2601280030931,退货入库,6942133505653,1,1,1,25325MF111M001,夹克,黑色,,2026-01-31 14:57:00,2026-02-02 10:26:29,已完成,已完成,2026-02-02 10:39:40,JDVA41641545723,,合肥仓
Spyder,775333,775333,其他入库,6942105348448,1,1,0,23423MR315MB22,云山蓝卫衣,云山蓝,,2026-01-31 15:17:00,2026-02-03 14:34:24,待上架,待上架,,,,合肥仓
Spyder,775333,775333,其他入库,6932472706682,1,1,0,24424CF236W001,黑色羽绒服,黑色,,2026-01-31 15:17:00,2026-02-03 14:34:24,待上架,待上架,,,,合肥仓
Spyder,775333,775333,其他入库,6941816959462,1,1,0,24424EF207UN22,灰铜绿羽绒服,灰铜绿,,2026-01-31 15:17:00,2026-02-03 14:34:24,待上架,待上架,,,,合肥仓
Spyder,775333,775333,其他入库,6941816959844,1,1,0,24424MF208WN13,豆蔻青羽绒服,豆蔻青,,2026-01-31 15:17:00,2026-02-03 14:34:24,待上架,待上架,,,,合肥仓
Spyder,775344,EB2601270035856,退货入库,6941816947841,1,1,1,24324EF543M001,黑色裤子,黑色,,2026-02-01 08:55:00,2026-02-03 16:41:21,已完成,已完成,2026-02-03 17:41:12,312953218575625,,合肥仓
Spyder,775351,EB2601250046218,退货入库,6941816947827,1,1,1,24324EF509M001,黑色裤子,黑色,,2026-01-31 17:16:00,2026-02-02 10:50:43,已完成,已完成,2026-02-02 11:22:37,JDX048625052630,,合肥仓
Spyder,775360,EB2601280022318,退货入库,6941816947858,1,1,1,24324EF543M001,黑色裤子,黑色,,2026-02-01 16:37:00,2026-02-03 16:15:35,已完成,已完成,2026-02-03 16:36:22,78979349611912,,合肥仓
Spyder,775388,EB2601290017951,换货入库,6941816947889,1,1,1,24324EF543M335,深棕绿裤子,深棕叶绿;深棕绿,,2026-02-01 10:18:02,2026-02-02 17:33:38,已完成,已完成,2026-02-02 18:34:47,435026130201468,,合肥仓
Spyder,775389,EB2601280025575,退货入库,6932472706637,1,1,1,24424CF234W001,黑色羽绒服,黑色,,2026-01-31 17:34:00,2026-02-02 13:48:12,已完成,已完成,2026-02-02 15:16:58,73594301140205,,合肥仓
Spyder,775390,EB2601270022579,退货入库,6941816960178,1,1,1,24424MF225M001,黑色羽绒服,黑色,,2026-01-31 17:14:01,2026-02-02 13:26:23,已完成,已完成,2026-02-02 15:16:54,773404603494965,,合肥仓
Spyder,775392,EB2601100022338,退货入库,6942133505653,1,1,1,25325MF111M001,夹克,黑色,,2026-01-31 17:13:00,2026-02-03 10:53:40,已完成,已完成,2026-02-03 10:59:10,773404603412503,,合肥仓
Spyder,775394,EB2601250022103,退货入库,6932472791633,1,1,1,25325EF229M001,羽绒服,黑色,,2026-01-31 17:13:00,2026-02-02 13:12:11,已完成,已完成,2026-02-02 13:17:40,773404603327012,,合肥仓
Spyder,775396,EB2601240029887,退货入库,6942105346598,1,1,1,23423EF227MN22,灰铜绿羽绒服,灰铜绿,,2026-01-31 17:12:00,2026-02-02 13:28:00,已完成,已完成,2026-02-02 15:16:55,773404603713903,,合肥仓
Spyder,775399,EB2601270037873,退货入库,6941816947858,1,1,1,24324EF543M001,黑色裤子,黑色,,2026-01-31 16:51:01,2026-02-03 16:12:24,已完成,已完成,2026-02-03 16:36:21,78979062713275,,合肥仓
Spyder,775400,EB2601270037873,退货入库,6942133525408,1,1,1,25425CF431M001,T恤,黑色,,2026-01-31 16:50:01,2026-02-03 16:12:18,已完成,已完成,2026-02-03 16:36:21,78979062713275,,合肥仓
Spyder,775417,EB2601260039819,退货入库,6905853522584,1,1,1,21121MS404WR06,烟熏粉T恤,烟熏粉,,2026-01-31 17:27:00,2026-02-03 14:21:22,已完成,已完成,2026-02-03 15:08:18,SF5124074813873,,合肥仓
Spyder,775429,EB2601200044741,退货入库,6942133509767,1,1,1,25325MR304WR03,卫衣,野梅粉,,2026-02-02 12:12:00,2026-02-05 13:32:41,已完成,已完成,2026-02-05 14:56:14,772056057989945,,合肥仓
Spyder,775433,EB2601200033195,退货入库,6941816942686,1,1,1,24324MF401M001,黑色T恤,黑色,,2026-01-31 17:31:00,2026-02-02 13:24:29,已完成,已完成,2026-02-02 15:16:54,773404607703104,,合肥仓
Spyder,775436,EB2601250020159,退货入库,6941816947865,1,1,1,24324EF543M001,黑色裤子,黑色,,2026-01-31 17:31:00,2026-02-02 13:15:10,已完成,已完成,2026-02-02 13:17:40,773404607389093,,合肥仓
Spyder,775445,EB2601260000719,退货入库,6942133528270,1,1,1,25425CF217M001,羽绒服,黑色,,2026-01-31 17:30:00,2026-02-02 10:38:08,已完成,已完成,2026-02-02 10:39:43,JDVA41646675254,,合肥仓
Spyder,775452,EB2601270024991,退货入库,6932472791794,1,1,1,25325EF247MC12,棉服,枯木棕,,2026-01-31 21:42:00,2026-02-02 13:34:26,已完成,已完成,2026-02-02 15:16:56,73594314475272,,合肥仓
Spyder,775462,EB2601280024210,退货入库,6942133505943,1,0,0,25325MF113M03G,冲锋衣,铅灰色,,2026-02-01 12:58:00,,待收货,待收货,,JT3152289291991,,合肥仓
Spyder,775474,EB2601300021229,退货入库,6942133513535,1,1,1,254CP25FW205M103,三合一,鹭白色,,2026-02-01 10:30:01,2026-02-02 10:06:05,已完成,已完成,2026-02-02 10:39:35,SF5100285950864,,合肥仓
Spyder,775475,EB2601280043596,退货入库,6942105345843,1,1,1,23423CF518WP09,暮光紫裤子,暮光紫,,2026-01-31 18:32:00,2026-02-04 09:39:37,已完成,已完成,2026-02-04 11:14:06,1345118793218,,合肥仓
Spyder,775476,EB2601290011386,退货入库,6942105357297,1,1,1,24124XS501MN02,深灰,深灰色;灰色,,2026-01-31 18:32:00,2026-02-04 09:39:29,已完成,已完成,2026-02-04 11:14:06,1345118793218,,合肥仓
Spyder,775477,EB2601280043596,退货入库,6942105309395,1,1,1,23323CF512W0MT,灰绿裤子,灰绿,,2026-01-31 18:32:00,2026-02-04 09:39:19,已完成,已完成,2026-02-04 11:14:06,1345118793218,,合肥仓
Spyder,775478,EB2601290025136,退货入库,6941767151632,1,1,1,23223CS507M001,黑色裤子,黑色,,2026-02-01 10:31:07,2026-02-03 17:27:56,已完成,已完成,2026-02-03 17:41:18,772055938919404,,合肥仓
Spyder,775487,EB2601290028756,退货入库,6942133507862,1,1,1,25325MF409M001,T恤,黑色,,2026-01-31 18:10:01,2026-02-05 11:23:04,已完成,已完成,2026-02-05 11:45:00,78978420122400,,合肥仓
Spyder,775497,EB2601240020698,退货入库,6942133528287,1,1,1,25425CF217M001,羽绒服,黑色,,2026-02-02 19:35:00,2026-02-06 13:37:23,已完成,已完成,2026-02-06 14:27:13,78979701947091,,合肥仓
Spyder,775527,EB2601300000542,退货入库,6932472712478,1,1,1,888100245914NE1,米灰色/浅卡其色鞋,米灰色/浅卡其色,,2026-02-01 12:49:00,2026-02-02 16:10:17,已完成,已完成,2026-02-02 17:27:20,78979258888267,,合肥仓
Spyder,775531,EB2601290042474,退货入库,6942133512453,1,1,1,253CP25FW209MG34,三合一,森林雾,,2026-02-01 10:31:07,2026-02-02 10:06:32,已完成,已完成,2026-02-02 10:39:35,SF5100285950864,,合肥仓
Spyder,775549,EB2601290028348,退货入库,6905853664383,1,1,1,21421CF134W001,黑色夹克,黑色,,2026-02-01 10:31:07,2026-02-03 16:34:03,已完成,已完成,2026-02-03 16:36:24,JT3152267463146,,合肥仓
Spyder,775551,EB2601260049589,退货入库,6941816960048,1,1,1,24424MF216WW02,奶霜白羽绒服,奶霜白,,2026-02-01 13:04:01,2026-02-07 10:18:59,已完成,已完成,2026-02-07 10:29:40,1315000040333,,合肥仓
Spyder,775555,EB2601280020333,退货入库,6942105347854,1,1,1,23423MR201MY08,黄铜色羽绒服,黄铜色,,2026-01-31 19:35:00,2026-02-03 10:16:24,已完成,已完成,2026-02-03 10:59:04,JDVA41649571158,,合肥仓
Spyder,775564,EB2601310034419,退货入库,6942133510466,1,1,1,25425MF233M001,羽绒服,黑色,,2026-01-31 19:38:00,2026-02-01 09:26:22,已完成,已完成,2026-02-01 11:33:59,SF5100208704231,,合肥仓
Spyder,775565,EB2601310034419,退货入库,6932472791404,1,1,1,25325EF201M001,羽绒服,黑色,,2026-01-31 19:38:00,2026-02-01 09:26:12,已完成,已完成,2026-02-01 11:33:59,SF5100208704231,,合肥仓
Spyder,775566,EB2601290038005,退货入库,6941816947810,1,1,1,24324EF509M001,黑色裤子,黑色,,2026-02-01 11:33:01,2026-02-02 13:55:22,已完成,已完成,2026-02-02 15:16:59,73594335153660,,合肥仓
Spyder,775574,EB2601270023241,退货入库,6932472701335,1,1,1,24424CF321M001,黑色卫衣,黑色,,2026-02-01 09:23:00,2026-02-02 16:17:35,已完成,已完成,2026-02-02 17:27:21,772055983316845,,合肥仓
Spyder,775578,EB2601280043582,退货入库,6942133510343,1,1,1,25425MF231M001,羽绒服,黑色,,2026-02-01 11:33:02,2026-02-03 15:59:09,已完成,已完成,2026-02-03 16:36:19,73594337234163,,合肥仓
Spyder,775580,EB2601250037933,退货入库,6932472791442,1,1,1,25325EF201MB06,羽绒服,灰蓝色,,2026-02-01 15:43:00,2026-02-03 09:59:33,已完成,已完成,2026-02-03 10:59:02,JDX048645092595,,合肥仓
Spyder,775585,EB2601270040572,退货入库,6942133517168,1,1,1,25325CF119M001,夹克,黑色,,2026-02-01 10:43:00,2026-02-03 16:01:04,已完成,已完成,2026-02-03 16:36:19,73594338193926,,合肥仓
Spyder,775605,EB2601260042974,退货入库,6942133511227,1,1,1,25425MF527M001,裤子,黑色,,2026-02-03 20:32:00,2026-02-09 13:24:42,已完成,已完成,2026-02-09 15:22:27,772056137678429,,合肥仓
